"T","R","D"
0.147945205479452,0.00357791724362509,0.0201291582324239
0.243174303259329,0.00404249588768265,0.0183844629718399
0.338403401039206,0.00453523462044292,0.0199757950480733
0.433632498819084,0.00505746268858506,0.0211881787379789
0.528861596598961,0.00554159346137664,0.0213712495332751
0.624090694378838,0.00602572423416821,0.0215543203285714
0.719319792158715,0.00640841364388088,0.0220412701070724
0.814548889938592,0.00675974845046007,0.0226221461167458
0.90977798771847,0.00708316379111216,0.0231126136367126
1.00500708549835,0.00724305083133416,0.0230735457169695
1.10023618327822,0.00740293787155617,0.0230344777972263
1.1954652810581,0.00756282491177817,0.0229954098774832
1.29069437883798,0.00772271195200018,0.0229563419577401
1.38592347661786,0.00788259899222218,0.0229172740379969
1.48115257439773,0.00796512516596826,0.0226440309323453
1.57638167217761,0.00803997430716329,0.0223475490677866
1.67161076995749,0.00811482344835833,0.022051067203228
1.76683986773736,0.00818967258955336,0.0217545853386694
1.86206896551724,0.0082645217307484,0.0214581034741108
1.95729806329712,0.00850454483085157,0.0213466203014504
2.052527161077,0.00892917412032266,0.0214419003726761
2.14775625885687,0.00935380340979376,0.0215371804439019
2.24298535663675,0.00977843269926485,0.0216324605151277
2.33821445441663,0.0102030619887359,0.0217277405863535
2.4334435521965,0.010627691278207,0.0218230206575792
2.52867264997638,0.0110523205676781,0.021918300728805
2.62390174775626,0.0114769498571492,0.0220135808000308
2.71913084553614,0.0119015791466203,0.0221088608712565
2.81435994331601,0.0123262084360914,0.0222041409424823
2.90958904109589,0.0127508377255625,0.0222994210137081
